.1.3.6.1.2.1.1.1.0 Hardware: Intel64 Family 6 Model 85 Stepping 4 AT/AT COMPATIBLE - Software: Windows Version 6.3 (Build 14393 Multiprocessor Free)
.1.3.6.1.2.1.1.2.0 .1.3.6.1.4.1.311.1.1.3.1.2
.1.3.6.1.2.1.1.3.0 2014006351
.1.3.6.1.2.1.1.4.0
.1.3.6.1.2.1.1.5.0 TP1
.1.3.6.1.2.1.1.6.0
.1.3.6.1.2.1.1.7.0 76
.1.3.6.1.2.1.2.1.0 32
.1.3.6.1.2.1.2.2.1.1.1 1
.1.3.6.1.2.1.2.2.1.1.2 2
.1.3.6.1.2.1.2.2.1.1.3 3
.1.3.6.1.2.1.2.2.1.1.4 4
.1.3.6.1.2.1.2.2.1.1.5 5
.1.3.6.1.2.1.2.2.1.1.6 6
.1.3.6.1.2.1.2.2.1.1.7 7
.1.3.6.1.2.1.2.2.1.1.8 8
.1.3.6.1.2.1.2.2.1.1.9 9
.1.3.6.1.2.1.2.2.1.1.10 10
.1.3.6.1.2.1.2.2.1.1.11 11
.1.3.6.1.2.1.2.2.1.1.12 12
.1.3.6.1.2.1.2.2.1.1.13 13
.1.3.6.1.2.1.2.2.1.1.14 14
.1.3.6.1.2.1.2.2.1.1.15 15
.1.3.6.1.2.1.2.2.1.1.16 16
.1.3.6.1.2.1.2.2.1.1.17 17
.1.3.6.1.2.1.2.2.1.1.18 18
.1.3.6.1.2.1.2.2.1.1.19 19
.1.3.6.1.2.1.2.2.1.1.20 20
.1.3.6.1.2.1.2.2.1.1.21 21
.1.3.6.1.2.1.2.2.1.1.22 22
.1.3.6.1.2.1.2.2.1.1.23 23
.1.3.6.1.2.1.2.2.1.1.24 24
.1.3.6.1.2.1.2.2.1.1.25 25
.1.3.6.1.2.1.2.2.1.1.26 26
.1.3.6.1.2.1.2.2.1.1.27 27
.1.3.6.1.2.1.2.2.1.1.28 28
.1.3.6.1.2.1.2.2.1.1.29 29
.1.3.6.1.2.1.2.2.1.1.30 30
.1.3.6.1.2.1.2.2.1.1.31 31
.1.3.6.1.2.1.2.2.1.1.32 32
.1.3.6.1.2.1.2.2.1.2.1 "53 6F 66 74 77 61 72 65 20 4C 6F 6F 70 62 61 63 6B 20 49 6E 74 65 72 66 61 63 65 20 31 00 "
.1.3.6.1.2.1.2.2.1.2.2 "57 41 4E 20 4D 69 6E 69 70 6F 72 74 20 28 49 50 29 00 "
.1.3.6.1.2.1.2.2.1.2.3 "57 41 4E 20 4D 69 6E 69 70 6F 72 74 20 28 4E 65 74 77 6F 72 6B 20 4D 6F 6E 69 74 6F 72 29 00 "
.1.3.6.1.2.1.2.2.1.2.4 "57 41 4E 20 4D 69 6E 69 70 6F 72 74 20 28 49 50 76 36 29 00 "
.1.3.6.1.2.1.2.2.1.2.5 "57 41 4E 20 4D 69 6E 69 70 6F 72 74 20 28 49 4B 45 76 32 29 00 "
.1.3.6.1.2.1.2.2.1.2.6 "4D 69 63 72 6F 73 6F 66 74 20 49 53 41 54 41 50 20 41 64 61 70 74 65 72 00 "
.1.3.6.1.2.1.2.2.1.2.7 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 20 23 32 00 "
.1.3.6.1.2.1.2.2.1.2.8 "57 41 4E 20 4D 69 6E 69 70 6F 72 74 20 28 50 50 50 4F 45 29 00 "
.1.3.6.1.2.1.2.2.1.2.9 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 20 23 33 00 "
.1.3.6.1.2.1.2.2.1.2.10 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 20 23 34 00 "
.1.3.6.1.2.1.2.2.1.2.11 "57 41 4E 20 4D 69 6E 69 70 6F 72 74 20 28 4C 32 54 50 29 00 "
.1.3.6.1.2.1.2.2.1.2.12 "57 41 4E 20 4D 69 6E 69 70 6F 72 74 20 28 47 52 45 29 00 "
.1.3.6.1.2.1.2.2.1.2.13 "4D 69 63 72 6F 73 6F 66 74 20 4B 65 72 6E 65 6C 20 44 65 62 75 67 20 4E 65 74 77 6F 72 6B 20 41 64 61 70 74 65 72 00 "
.1.3.6.1.2.1.2.2.1.2.14 "57 41 4E 20 4D 69 6E 69 70 6F 72 74 20 28 50 50 54 50 29 00 "
.1.3.6.1.2.1.2.2.1.2.15 "57 41 4E 20 4D 69 6E 69 70 6F 72 74 20 28 53 53 54 50 29 00 "
.1.3.6.1.2.1.2.2.1.2.16 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 00 "
.1.3.6.1.2.1.2.2.1.2.17 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 2D 57 46 50 20 4E 61 74 69 76 65 20 4D 41 43 20 4C 61 79 65 72 20 4C 69 67 68 74 57 65 69 67 68 74 20 46 69 6C 74 65 72 2D 30 30 30 30 00 "
.1.3.6.1.2.1.2.2.1.2.18 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 20 23 32 2D 57 46 50 20 4E 61 74 69 76 65 20 4D 41 43 20 4C 61 79 65 72 20 4C 69 67 68 74 57 65 69 67 68 74 20 46 69 6C 74 65 72 2D 30 30 30 30 00 "
.1.3.6.1.2.1.2.2.1.2.19 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 2D 4E 70 63 61 70 20 50 61 63 6B 65 74 20 44 72 69 76 65 72 20 28 4E 50 43 41 50 29 2D 30 30 30 30 00 "
.1.3.6.1.2.1.2.2.1.2.20 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 20 23 32 2D 4E 70 63 61 70 20 50 61 63 6B 65 74 20 44 72 69 76 65 72 20 28 4E 50 43 41 50 29 2D 30 30 30 30 00 "
.1.3.6.1.2.1.2.2.1.2.21 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 2D 51 6F 53 20 50 61 63 6B 65 74 20 53 63 68 65 64 75 6C 65 72 2D 30 30 30 30 00 "
.1.3.6.1.2.1.2.2.1.2.22 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 20 23 33 2D 57 46 50 20 4E 61 74 69 76 65 20 4D 41 43 20 4C 61 79 65 72 20 4C 69 67 68 74 57 65 69 67 68 74 20 46 69 6C 74 65 72 2D 30 30 30 30 00 "
.1.3.6.1.2.1.2.2.1.2.23 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 20 23 32 2D 51 6F 53 20 50 61 63 6B 65 74 20 53 63 68 65 64 75 6C 65 72 2D 30 30 30 30 00 "
.1.3.6.1.2.1.2.2.1.2.24 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 20 23 33 2D 4E 70 63 61 70 20 50 61 63 6B 65 74 20 44 72 69 76 65 72 20 28 4E 50 43 41 50 29 2D 30 30 30 30 00 "
.1.3.6.1.2.1.2.2.1.2.25 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 2D 57 46 50 20 38 30 32 2E 33 20 4D 41 43 20 4C 61 79 65 72 20 4C 69 67 68 74 57 65 69 67 68 74 20 46 69 6C 74 65 72 2D 30 30 30 30 00 "
.1.3.6.1.2.1.2.2.1.2.26 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 20 23 34 2D 57 46 50 20 4E 61 74 69 76 65 20 4D 41 43 20 4C 61 79 65 72 20 4C 69 67 68 74 57 65 69 67 68 74 20 46 69 6C 74 65 72 2D 30 30 30 30 00 "
.1.3.6.1.2.1.2.2.1.2.27 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 20 23 32 2D 57 46 50 20 38 30 32 2E 33 20 4D 41 43 20 4C 61 79 65 72 20 4C 69 67 68 74 57 65 69 67 68 74 20 46 69 6C 74 65 72 2D 30 30 30 30 00 "
.1.3.6.1.2.1.2.2.1.2.28 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 20 23 33 2D 51 6F 53 20 50 61 63 6B 65 74 20 53 63 68 65 64 75 6C 65 72 2D 30 30 30 30 00 "
.1.3.6.1.2.1.2.2.1.2.29 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 20 23 34 2D 4E 70 63 61 70 20 50 61 63 6B 65 74 20 44 72 69 76 65 72 20 28 4E 50 43 41 50 29 2D 30 30 30 30 00 "
.1.3.6.1.2.1.2.2.1.2.30 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 20 23 33 2D 57 46 50 20 38 30 32 2E 33 20 4D 41 43 20 4C 61 79 65 72 20 4C 69 67 68 74 57 65 69 67 68 74 20 46 69 6C 74 65 72 2D 30 30 30 30 00 "
.1.3.6.1.2.1.2.2.1.2.31 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 20 23 34 2D 51 6F 53 20 50 61 63 6B 65 74 20 53 63 68 65 64 75 6C 65 72 2D 30 30 30 30 00 "
.1.3.6.1.2.1.2.2.1.2.32 "48 50 45 20 45 74 68 65 72 6E 65 74 20 31 47 62 20 34 2D 70 6F 72 74 20 33 33 31 69 20 41 64 61 70 74 65 72 20 23 34 2D 57 46 50 20 38 30 32 2E 33 20 4D 41 43 20 4C 61 79 65 72 20 4C 69 67 68 74 57 65 69 67 68 74 20 46 69 6C 74 65 72 2D 30 30 30 30 00 "
.1.3.6.1.2.1.2.2.1.3.1 24
.1.3.6.1.2.1.2.2.1.3.2 6
.1.3.6.1.2.1.2.2.1.3.3 6
.1.3.6.1.2.1.2.2.1.3.4 6
.1.3.6.1.2.1.2.2.1.3.5 131
.1.3.6.1.2.1.2.2.1.3.6 131
.1.3.6.1.2.1.2.2.1.3.7 6
.1.3.6.1.2.1.2.2.1.3.8 23
.1.3.6.1.2.1.2.2.1.3.9 6
.1.3.6.1.2.1.2.2.1.3.10 6
.1.3.6.1.2.1.2.2.1.3.11 131
.1.3.6.1.2.1.2.2.1.3.12 131
.1.3.6.1.2.1.2.2.1.3.13 6
.1.3.6.1.2.1.2.2.1.3.14 131
.1.3.6.1.2.1.2.2.1.3.15 131
.1.3.6.1.2.1.2.2.1.3.16 6
.1.3.6.1.2.1.2.2.1.3.17 6
.1.3.6.1.2.1.2.2.1.3.18 6
.1.3.6.1.2.1.2.2.1.3.19 6
.1.3.6.1.2.1.2.2.1.3.20 6
.1.3.6.1.2.1.2.2.1.3.21 6
.1.3.6.1.2.1.2.2.1.3.22 6
.1.3.6.1.2.1.2.2.1.3.23 6
.1.3.6.1.2.1.2.2.1.3.24 6
.1.3.6.1.2.1.2.2.1.3.25 6
.1.3.6.1.2.1.2.2.1.3.26 6
.1.3.6.1.2.1.2.2.1.3.27 6
.1.3.6.1.2.1.2.2.1.3.28 6
.1.3.6.1.2.1.2.2.1.3.29 6
.1.3.6.1.2.1.2.2.1.3.30 6
.1.3.6.1.2.1.2.2.1.3.31 6
.1.3.6.1.2.1.2.2.1.3.32 6
.1.3.6.1.2.1.2.2.1.4.1 1500
